Date,T2M,GWETROOT,PRECTOTCORR,LAT,LON
2000-02-01,23.74,0.7,5.27,-15.75,35.75
2000-02-01,25.51,0.49,5.27,-15.25,33.25
2000-02-01,24.13,0.63,5.27,-15.25,33.75
2000-02-01,22.61,0.69,5.27,-15.25,34.25
2000-02-01,23.38,0.68,5.27,-15.25,34.75
2000-02-01,24.37,0.68,5.27,-15.25,35.25
2000-02-01,24.55,0.7,5.27,-15.25,35.75
2000-02-01,23.94,0.52,5.27,-14.75,33.25
2000-02-01,21.9,0.73,5.27,-14.75,33.75
2000-02-01,21.02,0.76,5.27,-14.75,34.25
2000-02-01,22.92,0.74,5.27,-14.75,34.75
2000-02-01,24.24,0.73,5.27,-14.75,35.25
2000-02-01,24.11,0.72,5.27,-14.75,35.75
2000-02-01,22.42,0.6,5.27,-14.25,33.25
2000-02-01,21.14,0.73,5.27,-14.25,33.75
2000-02-01,21.72,0.74,5.27,-14.25,34.25
2000-02-01,23.93,0.73,5.27,-14.25,34.75
2000-02-01,24.45,0.72,5.27,-14.25,35.25
2000-02-01,23.34,0.71,5.27,-14.25,35.75
2000-02-01,21.71,0.66,5.27,-13.75,33.25
2000-02-01,21.25,0.73,5.27,-13.75,33.75
2000-02-01,24.21,0.71,5.27,-13.75,34.25
2000-02-01,25.12,0.71,5.27,-13.75,34.75
2000-02-01,24.24,0.7,5.27,-13.75,35.25
2000-02-01,22.99,0.69,5.27,-13.75,35.75
2000-02-01,21.7,0.62,5.27,-13.25,33.25
2000-02-01,21.71,0.7,5.27,-13.25,33.75
2000-02-01,25.91,0.72,5.27,-13.25,34.25
2000-02-01,25.29,0.72,5.27,-13.25,34.75
2000-02-01,23.31,0.71,5.27,-13.25,35.25
2000-02-01,22.36,0.7,5.27,-13.25,35.75
2000-02-01,21.75,0.59,5.27,-12.75,33.25
2000-02-01,22.14,0.65,5.27,-12.75,33.75
2000-02-01,26.44,0.68,5.27,-12.75,34.25
2000-02-01,25.43,0.71,5.27,-12.75,34.75
2000-02-01,23.13,0.72,5.27,-12.75,35.25
2000-02-01,22.08,0.71,5.27,-12.75,35.75
2000-02-01,21.79,0.55,5.27,-12.25,33.25
2000-02-01,21.68,0.64,5.27,-12.25,33.75
2000-02-01,26.63,0.67,5.27,-12.25,34.25
2000-02-01,26.24,0.69,5.27,-12.25,34.75
2000-02-01,24.27,0.7,5.27,-12.25,35.25
2000-02-01,23.14,0.7,5.27,-12.25,35.75
2000-02-01,22.38,0.5,5.27,-11.75,33.25
2000-02-01,21.03,0.63,5.27,-11.75,33.75
2000-02-01,26.57,0.69,5.27,-11.75,34.25
2000-02-01,26.49,0.66,5.27,-11.75,34.75
2000-02-01,25.08,0.65,5.27,-11.75,35.25
2000-02-01,24.5,0.67,5.27,-11.75,35.75
2000-02-01,23.14,0.5,5.27,-11.25,33.25
2000-02-01,20.88,0.61,5.27,-11.25,33.75
2000-02-01,26.62,0.67,5.27,-11.25,34.25
2000-02-01,25.82,0.61,5.27,-11.25,34.75
2000-02-01,24.31,0.57,4.22,-11.25,35.25
2000-02-01,24.37,0.59,2.64,-11.25,35.75
2000-02-01,22.94,0.52,5.27,-10.75,33.25
2000-02-01,20.43,0.6,5.27,-10.75,33.75
2000-02-01,26.97,0.64,5.27,-10.75,34.25
2000-02-01,25.72,0.56,5.27,-10.75,34.75
2000-02-01,23.51,0.54,3.16,-10.75,35.25
2000-02-01,23.29,0.55,0.0,-10.75,35.75
2000-02-01,22.57,0.53,5.27,-10.25,33.25
2000-02-01,22.09,0.58,5.27,-10.25,33.75
