LAT,LON,5_T2M_AVERAGE,5_T2M_MIN,5_T2M_MAX,5_GWETROOT_AVERAGE,5_GWETROOT_MIN,5_GWETROOT_MAX,5_PRECTOTCORR_AVERAGE,5_PRECTOTCORR_MIN,5_PRECTOTCORR_MAX,10_T2M_AVERAGE,10_T2M_MIN,10_T2M_MAX,10_GWETROOT_AVERAGE,10_GWETROOT_MIN,10_GWETROOT_MAX,10_PRECTOTCORR_AVERAGE,10_PRECTOTCORR_MIN,10_PRECTOTCORR_MAX
-16.75,33.25,25.05861111111112,20.12833333333333,29.885,0.4313888888888889,0.39,0.5366666666666667,2.2465277777777777,0.0116666666666666,11.17,25.077954545454546,20.26909090909091,29.883636363636366,0.4323484848484848,0.39,0.5445454545454547,2.1762121212121213,0.0063636363636363,10.408181818181818
-16.75,33.75,25.31416666666667,20.523333333333333,30.0,0.4656944444444444,0.43,0.5483333333333333,2.243055555555556,0.02,10.671666666666669,25.32992424242424,20.68909090909091,29.985454545454544,0.4669696969696968,0.4299999999999999,0.56,2.222272727272727,0.0109090909090909,10.136363636363637
-16.75,34.25,25.890972222222228,21.231666666666666,30.71833333333333,0.5215277777777777,0.4699999999999999,0.645,2.181111111111111,0.0266666666666666,9.018333333333333,25.89962121212121,21.443636363636365,30.66727272727273,0.5271212121212121,0.4699999999999999,0.6718181818181818,2.188484848484849,0.0145454545454545,9.234545454545454
-16.75,34.75,26.01083333333333,21.265,31.07,0.5784722222222223,0.5099999999999999,0.7266666666666667,2.645138888888889,0.0316666666666666,10.82,26.099545454545456,21.61636363636364,30.99727272727273,0.5802272727272727,0.5099999999999999,0.7481818181818182,2.4775,0.0172727272727272,10.36090909090909
-16.75,35.25,25.37111111111111,20.60333333333333,30.548333333333336,0.6076388888888888,0.5133333333333333,0.79,3.2094444444444448,0.0483333333333333,13.498333333333331,25.523939393939397,21.015454545454546,30.431818181818183,0.5993939393939395,0.5118181818181817,0.7936363636363635,2.841287878787879,0.0263636363636363,12.397272727272725
-16.75,35.75,24.38833333333333,19.74,29.461666666666662,0.6165277777777777,0.5016666666666666,0.8116666666666665,3.5563888888888893,0.0683333333333333,14.35,24.53348484848485,20.05909090909091,29.30909090909091,0.6031060606060605,0.5009090909090909,0.8027272727272727,3.110151515151515,0.0372727272727272,13.532727272727271
-16.25,33.25,25.61486111111111,20.636666666666667,30.676666666666662,0.5076388888888889,0.4616666666666666,0.61,2.1381944444444447,0.015,10.048333333333334,25.624242424242425,20.76181818181818,30.71090909090909,0.5077272727272727,0.4609090909090909,0.6163636363636363,2.081060606060606,0.0081818181818181,9.796363636363637
-16.25,33.75,25.70902777777778,20.795,30.838333333333328,0.5009722222222222,0.45,0.5983333333333333,2.315555555555556,0.0183333333333333,10.368333333333334,25.76606060606061,21.003636363636364,30.87454545454545,0.4990909090909091,0.45,0.6063636363636363,2.241742424242424,0.01,9.97090909090909
-16.25,34.25,25.620555555555555,20.80166666666667,30.793333333333337,0.5036111111111111,0.4416666666666666,0.6283333333333333,2.2594444444444446,0.0166666666666666,9.678333333333333,25.655909090909088,21.01636363636364,30.78363636363636,0.5057575757575757,0.440909090909091,0.6418181818181817,2.195151515151515,0.009090909090909,9.594545454545454
-16.25,34.75,25.057222222222222,20.206666666666667,30.38166666666666,0.5895833333333333,0.5,0.75,3.111111111111111,0.0283333333333333,12.103333333333332,25.1819696969697,20.56636363636364,30.35909090909091,0.5838636363636364,0.5,0.7536363636363638,2.8236363636363637,0.0154545454545454,11.636363636363637
-16.25,35.25,23.74569444444444,18.938333333333333,28.988333333333333,0.6758333333333333,0.555,0.8633333333333334,3.9325,0.0533333333333333,15.23,23.92954545454546,19.329090909090908,28.939090909090904,0.6612121212121213,0.5527272727272726,0.8545454545454544,3.4234090909090917,0.029090909090909,14.109090909090911
-16.25,35.75,22.42652777777778,17.723333333333333,27.345,0.7108333333333333,0.5683333333333332,0.8983333333333334,4.293472222222222,0.0766666666666666,16.19666666666667,22.599318181818184,18.00909090909091,27.294545454545457,0.6907575757575758,0.5654545454545455,0.879090909090909,3.7039393939393945,0.0418181818181818,15.067272727272728
-15.75,33.25,25.14763888888889,20.02,30.416666666666668,0.5179166666666667,0.4616666666666666,0.635,2.3408333333333333,0.0133333333333333,10.801666666666668,25.22568181818182,20.21454545454545,30.55272727272727,0.5139393939393938,0.4609090909090909,0.6327272727272727,2.1794696969696976,0.0072727272727272,10.446363636363635
-15.75,33.75,24.644722222222224,19.49333333333333,30.016666666666666,0.5219444444444444,0.4416666666666666,0.6466666666666666,2.8047222222222223,0.02,11.676666666666668,24.81083333333333,19.80545454545455,30.20090909090909,0.5106060606060606,0.44,0.6372727272727273,2.528409090909091,0.0109090909090909,10.923636363636364
-15.75,34.25,23.618333333333336,18.598333333333333,28.74166666666667,0.5566666666666668,0.4699999999999999,0.685,2.826805555555556,0.0183333333333333,12.011666666666663,23.730833333333337,18.828181818181815,28.888181818181817,0.5478787878787877,0.4663636363636363,0.6754545454545454,2.540454545454546,0.01,11.106363636363636
-15.75,34.75,23.134444444444444,18.14833333333333,28.30333333333333,0.6231944444444445,0.5083333333333334,0.7833333333333332,3.622638888888889,0.0283333333333333,14.166666666666666,23.31121212121212,18.486363636363635,28.435454545454544,0.605909090909091,0.5045454545454546,0.7618181818181818,3.1543939393939397,0.0154545454545454,13.432727272727272
