LAT,LON,T2M_AVERAGE,T2M_MIN,T2M_MAX,GWETROOT_AVERAGE,GWETROOT_MIN,GWETROOT_MAX,PRECTOTCORR_AVERAGE,PRECTOTCORR_MIN,PRECTOTCORR_MAX
-16.75,33.25,25.058611111111112,19.59,31.36,0.43138888888888893,0.39,0.56,2.2465277777777777,0.0,13.13
-16.75,33.75,25.314166666666665,19.76,31.47,0.46569444444444447,0.43,0.59,2.2430555555555554,0.0,13.18
-16.75,34.25,25.890972222222224,20.33,32.1,0.5215277777777777,0.47,0.69,2.181111111111111,0.0,12.69
-16.75,34.75,26.010833333333334,20.28,32.32,0.5784722222222222,0.51,0.79,2.645138888888889,0.0,15.52
-16.75,35.25,25.371111111111112,19.7,31.76,0.6076388888888888,0.51,0.87,3.2094444444444443,0.0,18.29
-16.75,35.75,24.388333333333335,18.87,30.74,0.6165277777777778,0.5,0.89,3.556388888888889,0.0,19.24
-16.25,33.25,25.61486111111111,20.05,32.3,0.5076388888888889,0.46,0.65,2.1381944444444443,0.0,13.23
-16.25,33.75,25.709027777777777,20.13,32.47,0.5009722222222223,0.45,0.66,2.3155555555555556,0.0,13.04
-16.25,34.25,25.620555555555555,20.05,32.34,0.5036111111111111,0.44,0.7,2.2594444444444446,0.0,12.79
-16.25,34.75,25.057222222222222,19.41,31.88,0.5895833333333333,0.5,0.82,3.111111111111111,0.0,15.68
-16.25,35.25,23.745694444444446,18.16,30.46,0.6758333333333333,0.55,0.91,3.9324999999999997,0.0,19.15
-16.25,35.75,22.42652777777778,17.03,28.84,0.7108333333333333,0.56,0.93,4.293472222222222,0.0,21.21
-15.75,33.25,25.14763888888889,19.58,32.15,0.5179166666666667,0.46,0.7,2.3408333333333333,0.0,15.2
-15.75,33.75,24.644722222222224,19.12,31.84,0.5219444444444444,0.43,0.73,2.8047222222222223,0.0,16.64
-15.75,34.25,23.618333333333332,18.24,30.49,0.5566666666666666,0.46,0.78,2.8268055555555556,0.0,16.61
-15.75,34.75,23.134444444444444,17.6,30.02,0.6231944444444444,0.5,0.85,3.6226388888888885,0.0,17.89
-15.75,35.25,22.457916666666666,17.03,29.07,0.6975,0.55,0.91,4.3036111111111115,0.0,19.71
-15.75,35.75,21.714583333333334,16.51,27.81,0.7395833333333334,0.58,0.93,4.531666666666667,0.0,20.98
-15.25,33.25,24.096666666666668,18.31,31.26,0.4961111111111111,0.41,0.7,2.7881944444444446,0.0,18.07
-15.25,33.75,22.445833333333333,16.71,29.55,0.6465277777777777,0.53,0.87,3.539305555555556,0.0,23.11
-15.25,34.25,20.72888888888889,15.38,27.2,0.7148611111111111,0.57,0.93,3.8952777777777774,0.0,25.28
-15.25,34.75,21.55972222222222,16.2,28.02,0.7172222222222222,0.57,0.93,4.2225,0.0,23.7
